No,SRS Ref,FSD Ref,TSD Ref,No. Test Script,Nama Fungsional,URL / Endpoint,Parameter / Value,Ekspektasi,Hasil Aktual,Tgl Test,PIC,Screenshot Hasil,Pass / Failed
1,SRS-000,FSD-000,TSD-000,TS-BE-NEG-001,Health Check Invalid Method,POST /health,-,Status 405 Method Not Allowed,Status 405 method not allowed,10/06/2026,Tester Backend,Lihat lampiran,Pass
2,SRS-MON-001,FSD-MON-001,TSD-MON-001,TS-BE-NEG-002,Daftar Pasien Tanpa Auth,GET /api/v1/monitoring/pasien,No Authorization header,Status 401 Unauthorized,Status 401 unauthorized,10/06/2026,Tester Backend,Lihat lampiran,Pass
3,SRS-MON-001,FSD-MON-001,TSD-MON-001,TS-BE-NEG-003,Daftar Pasien Token Invalid,GET /api/v1/monitoring/pasien,Authorization: Bearer invalid_token,Status 401 Unauthorized,Status 401 token invalid,10/06/2026,Tester Backend,Lihat lampiran,Pass
4,SRS-MON-002,FSD-MON-002,TSD-MON-002,TS-BE-NEG-004,Detail Pasien ID Tidak Ditemukan,GET /api/v1/monitoring/pasien/99999,Authorization: Bearer {token}; id=99999,Status 404 Not Found,Status 404 pasien tidak ditemukan,10/06/2026,Tester Backend,Lihat lampiran,Pass
5,SRS-MON-003,FSD-MON-003,TSD-MON-003,TS-BE-NEG-005,Cari Pasien Query Kosong,GET /api/v1/monitoring/pasien/search?q=,Authorization: Bearer {token}; q="",Status 422 Validation Error,Status 422 query wajib diisi,10/06/2026,Tester Backend,Lihat lampiran,Pass
6,SRS-MON-004,FSD-MON-004,TSD-MON-004,TS-BE-NEG-006,Export Pasien Role Tidak Sesuai,GET /api/v1/monitoring/pasien/export,Authorization: Bearer {token_kader},Status 403 Forbidden,Status 403 akses ditolak,10/06/2026,Tester Backend,Lihat lampiran,Pass
7,SRS-MON-005,FSD-MON-005,TSD-MON-005,TS-BE-NEG-007,Summary Dashboard Tanpa Auth,GET /api/v1/monitoring/statistik,No Authorization header,Status 401 Unauthorized,Status 401 unauthorized,10/06/2026,Tester Backend,Lihat lampiran,Pass
8,SRS-MON-006,FSD-MON-006,TSD-MON-006,TS-BE-NEG-008,Tren Bulanan Format Tahun Invalid,GET /api/v1/monitoring/statistik-bulanan?tahun=abcd,Authorization: Bearer {token}; tahun=abcd,Status 422 Validation Error,Status 422 format tahun invalid,10/06/2026,Tester Backend,Lihat lampiran,Pass
9,SRS-MON-007,FSD-MON-007,TSD-MON-007,TS-BE-NEG-009,Input Pemeriksaan Data Tidak Lengkap,POST /api/v1/monitoring/pemeriksaan,Authorization: Bearer {token}; body: {id_pasien: 1} (missing required fields),Status 422 Validation Error,Status 422 data tidak lengkap,10/06/2026,Tester Backend,Lihat lampiran,Pass
10,SRS-MON-007,FSD-MON-007,TSD-MON-007,TS-BE-NEG-010,Input Pemeriksaan Role Tidak Sesuai,POST /api/v1/monitoring/pemeriksaan,Authorization: Bearer {token_dinkes}; body: valid data,Status 403 Forbidden,Status 403 role tidak sesuai,10/06/2026,Tester Backend,Lihat lampiran,Pass
11,SRS-MON-007,FSD-MON-007,TSD-MON-007,TS-BE-NEG-011,Input Pemeriksaan ID Pasien Tidak Ditemukan,POST /api/v1/monitoring/pemeriksaan,Authorization: Bearer {token}; body: {id_pasien: 99999 ...},Status 404 Not Found,Status 404 pasien tidak ditemukan,10/06/2026,Tester Backend,Lihat lampiran,Pass
12,SRS-MON-008,FSD-MON-008,TSD-MON-008,TS-BE-NEG-012,Detail Pemeriksaan ID Tidak Valid,GET /api/v1/monitoring/pemeriksaan/abc,Authorization: Bearer {token}; id=abc,Status 400 Bad Request,Status 400 ID harus angka,10/06/2026,Tester Backend,Lihat lampiran,Pass
13,SRS-MON-009,FSD-MON-009,TSD-MON-009,TS-BE-NEG-013,Edit Pemeriksaan Sudah Diverifikasi,PUT /api/v1/monitoring/pemeriksaan/{id},Authorization: Bearer {token}; id=1 (already verified),Status 422 Validation Error,Status 422 sudah diverifikasi,10/06/2026,Tester Backend,Lihat lampiran,Pass
14,SRS-MON-010,FSD-MON-010,TSD-MON-010,TS-BE-NEG-014,Hapus Pemeriksaan Tidak Ditemukan,DELETE /api/v1/monitoring/pemeriksaan/99999,Authorization: Bearer {token}; id=99999,Status 404 Not Found,Status 404 data tidak ditemukan,10/06/2026,Tester Backend,Lihat lampiran,Pass
15,SRS-MON-011,FSD-MON-011,TSD-MON-011,TS-BE-NEG-015,Verifikasi Pemeriksaan Bukan Bidan,PATCH /api/v1/monitoring/pemeriksaan/{id}/verify,Authorization: Bearer {token_kader}; id=1,Status 403 Forbidden,Status 403 hanya bidan,10/06/2026,Tester Backend,Lihat lampiran,Pass
16,SRS-MON-012,FSD-MON-012,TSD-MON-012,TS-BE-NEG-016,Pemeriksaan Pending Tanpa Auth,GET /api/v1/monitoring/pemeriksaan/pending,No Authorization header,Status 401 Unauthorized,Status 401 unauthorized,10/06/2026,Tester Backend,Lihat lampiran,Pass
17,SRS-IMU-001,FSD-IMU-001,TSD-IMU-001,TS-BE-NEG-017,Daftar Jadwal Imunisasi Tanpa Auth,GET /api/v1/imunisasi,No Authorization header,Status 401 Unauthorized,Status 401 unauthorized,10/06/2026,Tester Backend,Lihat lampiran,Pass
18,SRS-IMU-002,FSD-IMU-002,TSD-IMU-002,TS-BE-NEG-018,Tambah Jadwal Imunisasi Data Invalid,POST /api/v1/imunisasi,Authorization: Bearer {token}; body: {jenis_vaksin: ""},Status 422 Validation Error,Status 422 data tidak valid,10/06/2026,Tester Backend,Lihat lampiran,Pass
19,SRS-IMU-003,FSD-IMU-003,TSD-IMU-003,TS-BE-NEG-019,Update Realisasi ID Tidak Ditemukan,PATCH /api/v1/imunisasi/99999/realisasi,Authorization: Bearer {token}; id=99999,Status 404 Not Found,Status 404 jadwal tidak ditemukan,10/06/2026,Tester Backend,Lihat lampiran,Pass
20,SRS-TL-001,FSD-TL-001,TSD-TL-001,TS-BE-NEG-020,Daftar Pasien Tindak Lanjut Bukan Bidan,GET /api/v1/tindak-lanjut/pasien,Authorization: Bearer {token_kader},Status 403 Forbidden,Status 403 hanya bidan,10/06/2026,Tester Backend,Lihat lampiran,Pass
21,SRS-TL-002,FSD-TL-002,TSD-TL-002,TS-BE-NEG-021,Detail Pasien Tindak Lanjut ID Invalid,GET /api/v1/tindak-lanjut/pasien/99999,Authorization: Bearer {token}; id=99999,Status 404 Not Found,Status 404 pasien tidak ditemukan,10/06/2026,Tester Backend,Lihat lampiran,Pass
22,SRS-TL-003,FSD-TL-003,TSD-TL-003,TS-BE-NEG-022,Membuat Tindak Lanjut Data Tidak Lengkap,POST /api/v1/tindak-lanjut,Authorization: Bearer {token}; body: {id_hasil_pemeriksaan: 1} (missing jenis),Status 422 Validation Error,Status 422 data tidak lengkap,10/06/2026,Tester Backend,Lihat lampiran,Pass
23,SRS-TL-003,FSD-TL-003,TSD-TL-003,TS-BE-NEG-023,Membuat Tindak Lanjut Bukan Bidan,POST /api/v1/tindak-lanjut,Authorization: Bearer {token_kader}; body: valid data,Status 403 Forbidden,Status 403 hanya bidan,10/06/2026,Tester Backend,Lihat lampiran,Pass
24,SRS-TL-004,FSD-TL-004,TSD-TL-004,TS-BE-NEG-024,Update Status Rujukan Status Invalid,PATCH /api/v1/rujukan/{id}/status,Authorization: Bearer {token}; id=1; body: {status_rujukan: INVALID},Status 422 Validation Error,Status 422 status tidak valid,10/06/2026,Tester Backend,Lihat lampiran,Pass
25,SRS-TL-005,FSD-TL-005,TSD-TL-005,TS-BE-NEG-025,Detail Tindak Lanjut Akses Ditolak,GET /api/v1/tindak-lanjut/{id},Authorization: Bearer {token_other_user}; id=1,Status 403 Forbidden,Status 403 bukan pemilik data,10/06/2026,Tester Backend,Lihat lampiran,Pass
26,SRS-TL-006,FSD-TL-006,TSD-TL-006,TS-BE-NEG-026,Status Tindak Lanjut Bukan Kader,GET /api/v1/tindak-lanjut/status,Authorization: Bearer {token_bidan},Status 403 Forbidden,Status 403 hanya kader,10/06/2026,Tester Backend,Lihat lampiran,Pass
27,SRS-LAP-001,FSD-LAP-001,TSD-LAP-001,TS-BE-NEG-027,Laporan Tindak Lanjut Bukan Dinkes,GET /api/v1/laporan/tindak-lanjut,Authorization: Bearer {token_bidan},Status 403 Forbidden,Status 403 hanya dinkes,10/06/2026,Tester Backend,Lihat lampiran,Pass
28,SRS-ART-001,FSD-ART-001,TSD-ART-001,TS-BE-NEG-028,Daftar Artikel Tanpa Auth,GET /api/v1/artikel,No Authorization header,Status 401 Unauthorized,Status 401 unauthorized,10/06/2026,Tester Backend,Lihat lampiran,Pass
29,SRS-ART-002,FSD-ART-002,TSD-ART-002,TS-BE-NEG-029,Detail Artikel ID Tidak Ditemukan,GET /api/v1/artikel/99999,Authorization: Bearer {token}; id=99999,Status 404 Not Found,Status 404 artikel tidak ditemukan,10/06/2026,Tester Backend,Lihat lampiran,Pass
30,SRS-ART-003,FSD-ART-003,TSD-ART-003,TS-BE-NEG-030,Membuat Artikel Bukan Bidan,POST /api/v1/artikel,Authorization: Bearer {token_kader}; body: valid data,Status 403 Forbidden,Status 403 hanya bidan,10/06/2026,Tester Backend,Lihat lampiran,Pass
31,SRS-ART-003,FSD-ART-003,TSD-ART-003,TS-BE-NEG-031,Membuat Artikel Judul Kosong,POST /api/v1/artikel,Authorization: Bearer {token_bidan}; body: {judul: "" isi_artikel: ... kategori: ...},Status 422 Validation Error,Status 422 judul wajib diisi,10/06/2026,Tester Backend,Lihat lampiran,Pass
32,SRS-ART-004,FSD-ART-004,TSD-ART-004,TS-BE-NEG-032,Update Artikel Bukan Pemilik,PATCH /api/v1/artikel/{id},Authorization: Bearer {token_bidan_other}; id=1,Status 403 Forbidden,Status 403 bukan pemilik,10/06/2026,Tester Backend,Lihat lampiran,Pass
33,SRS-ART-004,FSD-ART-004,TSD-ART-004,TS-BE-NEG-033,Update Artikel Sudah Published,PATCH /api/v1/artikel/{id},Authorization: Bearer {token_bidan}; id=1 (already published),Status 422 Validation Error,Status 422 sudah published,10/06/2026,Tester Backend,Lihat lampiran,Pass
34,SRS-ART-005,FSD-ART-005,TSD-ART-005,TS-BE-NEG-034,Review Artikel Bukan Dinkes,PATCH /api/v1/artikel/{id}/review,Authorization: Bearer {token_bidan}; id=1; body: {aksi: setujui},Status 403 Forbidden,Status 403 hanya dinkes,10/06/2026,Tester Backend,Lihat lampiran,Pass
35,SRS-ART-005,FSD-ART-005,TSD-ART-005,TS-BE-NEG-035,Review Artikel Aksi Invalid,PATCH /api/v1/artikel/{id}/review,Authorization: Bearer {token_dinkes}; id=1; body: {aksi: invalid},Status 422 Validation Error,Status 422 aksi tidak valid,10/06/2026,Tester Backend,Lihat lampiran,Pass
