id_user,no_sk,id_posyandu,created_at,updated_at
224100,SK-F7133ED08A03,389,2025-07-29 12:01:20,2025-07-29 12:01:20
245891,SK-3BBED7060C62,276,2026-02-18 15:02:11,2026-02-18 15:02:11
225470,SK-45B893160BE0,414,2026-03-26 09:08:52,2026-03-26 09:08:52
238824,SK-13A0FC61B788,312,2026-05-24 08:51:02,2026-05-24 08:51:02
232182,SK-2AD55CF721E4,29,2025-10-13 15:16:26,2025-10-13 15:16:26
212511,SK-99C9D86398D2,417,2024-06-28 05:36:19,2024-06-28 05:36:19
207615,SK-A984C6392CF3,191,2025-05-21 22:55:07,2025-05-21 22:55:07
237852,SK-1C6364A5EA3E,459,2026-01-13 18:34:26,2026-01-13 18:34:26
247716,SK-28B1069CEA6A,389,2024-10-29 08:32:45,2024-10-29 08:32:45
213508,SK-02EE9A4FAF11,301,2026-01-03 19:28:28,2026-01-03 19:28:28
249328,SK-22276E4A7854,439,2026-05-20 02:59:09,2026-05-20 02:59:09
229665,SK-6B49B4E2B42F,467,2025-06-13 18:10:11,2025-06-13 18:10:11
217395,SK-1B59E3CF36FC,390,2025-11-23 06:17:29,2025-11-23 06:17:29
224457,SK-96C3ADAE7704,63,2026-02-11 16:21:03,2026-02-11 16:21:03
217939,SK-456CEBD00DC7,316,2025-11-17 09:04:16,2025-11-17 09:04:16
209871,SK-D98114E6E922,157,2024-12-03 12:55:38,2024-12-03 12:55:38
223309,SK-AF2CF6D528E4,22,2025-03-08 18:47:46,2025-03-08 18:47:46
220967,SK-4D92CD485062,54,2025-03-11 19:32:54,2025-03-11 19:32:54
221952,SK-435BD0365773,320,2024-08-31 02:38:05,2024-08-31 02:38:05
231760,SK-C4DD556BE68C,376,2025-07-17 07:20:45,2025-07-17 07:20:45
206689,SK-7629842A06EB,305,2026-05-25 06:23:37,2026-05-25 06:23:37
239722,SK-2F116106CDF8,364,2026-03-05 21:31:58,2026-03-05 21:31:58
209675,SK-2231B01378E7,187,2025-08-29 10:11:41,2025-08-29 10:11:41
227309,SK-6302D6BED80E,376,2025-12-25 12:19:57,2025-12-25 12:19:57
214946,SK-098255EB05F0,225,2025-12-10 22:05:58,2025-12-10 22:05:58
216646,SK-D0818CF3F2D1,112,2026-03-22 09:16:05,2026-03-22 09:16:05
240756,SK-4669532DFFB6,288,2025-12-14 12:34:11,2025-12-14 12:34:11
241927,SK-E0A92DD73108,479,2025-05-25 16:09:27,2025-05-25 16:09:27
236019,SK-09A3454B1455,41,2024-07-27 11:05:16,2024-07-27 11:05:16
239663,SK-8F1EBEB8A426,495,2026-03-22 08:10:40,2026-03-22 08:10:40
