id_posyandu,nama_posyandu,id_lokasi,id_bidan,created_at,updated_at
1,Posyandu Kenanga 15 Kedungreja,94,232501,2023-08-14 16:40:40,2023-08-14 16:40:40
2,Posyandu Mawar 4 Cilacap,119,225699,2024-04-18 21:04:56,2024-04-18 21:04:56
3,Posyandu Cempaka 17 Kober,6,219656,2025-06-02 12:17:18,2025-06-02 12:17:18
4,Posyandu Flamboyan 8 Bandung,71,213613,2024-03-11 05:59:57,2024-03-11 05:59:57
5,Posyandu Teratai 3 Jurangombo Utara,202,247989,2025-09-19 12:45:22,2025-09-19 12:45:22
6,Posyandu Flamboyan 6 Bener,169,233831,2024-06-03 11:36:58,2024-06-03 11:36:58
7,Posyandu Melati 12 Pucang Sawit,196,204223,2026-05-17 10:04:50,2026-05-17 10:04:50
8,Posyandu Teratai 12 Bareng,12,202378,2023-09-28 09:39:36,2023-09-28 09:39:36
9,Posyandu Melati 1 Bakalan,67,229641,2023-12-25 06:03:22,2023-12-25 06:03:22
10,Posyandu Melati 19 Belang Wetan,223,227300,2023-06-17 10:01:22,2023-06-17 10:01:22
11,Posyandu Melati 4 Pajang,139,247446,2026-05-26 22:39:30,2026-05-26 22:39:30
12,Posyandu Mawar 1 Karanganyar,29,236452,2024-07-16 11:56:28,2024-07-16 11:56:28
13,Posyandu Cempaka 18 Pulutan,217,200093,2024-04-07 09:25:08,2024-04-07 09:25:08
14,Posyandu Kamboja 19 Tegalrejo,162,207738,2024-04-07 10:16:45,2024-04-07 10:16:45
15,Posyandu Mawar 17 Majapura,131,217098,2023-10-08 04:33:11,2023-10-08 04:33:11
16,Posyandu Teratai 5 Kembangsari,63,207148,2023-07-29 21:00:49,2023-07-29 21:00:49
17,Posyandu Kenanga 4 Bantarsoka,76,214487,2024-04-18 15:28:55,2024-04-18 15:28:55
18,Posyandu Bougenville 12 Bojong,80,243127,2025-10-17 22:19:38,2025-10-17 22:19:38
19,Posyandu Teratai 17 Sidanegara,124,226249,2024-04-18 01:06:14,2024-04-18 01:06:14
20,Posyandu Melati 9 Arcawinangun,127,217709,2023-12-01 09:01:50,2023-12-01 09:01:50
21,Posyandu Dahlia 12 Kertonatan,204,232672,2025-08-30 09:05:11,2025-08-30 09:05:11
22,Posyandu Anggrek 6 Noyontaansari,208,211116,2024-11-08 11:35:11,2024-11-08 11:35:11
23,Posyandu Anggrek 18 Kumpulrejo,172,211642,2023-10-18 20:36:25,2023-10-18 20:36:25
24,Posyandu Kamboja 4 Gombong,119,225101,2025-12-03 09:28:34,2025-12-03 09:28:34
25,Posyandu Bougenville 14 Kadipiro,219,233831,2025-07-20 00:59:46,2025-07-20 00:59:46
26,Posyandu Dahlia 20 Mojosongo,157,236842,2026-04-14 05:07:01,2026-04-14 05:07:01
27,Posyandu Kamboja 2 Pandansari,63,215012,2024-04-01 23:42:01,2024-04-01 23:42:01
28,Posyandu Melati 9 Kutawaru,228,212018,2024-08-06 13:15:40,2024-08-06 13:15:40
29,Posyandu Melati 11 Mangunharjo,26,249095,2026-04-04 18:39:38,2026-04-04 18:39:38
30,Posyandu Kamboja 13 Kramas,164,214403,2023-11-04 01:06:46,2023-11-04 01:06:46
31,Posyandu Dahlia 6 Kembangsari,71,249494,2023-07-17 18:09:33,2023-07-17 18:09:33
32,Posyandu Dahlia 18 Kober,201,220653,2024-03-30 07:52:27,2024-03-30 07:52:27
